loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-786.7090250651041,0.5729166666666666,7.669370889663696,False,,,1,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-36,1680276756,7.669370889663696,1355652,cuda01,172.29.16.1,7.669370889663696,0,1,0.010024785995483398
-583.1712443033854,0.6458333333333334,1.2896380424499512,False,,,2,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-37,1680276757,8.959008932113647,1355652,cuda01,172.29.16.1,8.959008932113647,0,2,0.010024785995483398
-427.72938028971356,0.6354166666666666,1.21419358253479,False,,,3,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-39,1680276759,10.173202514648438,1355652,cuda01,172.29.16.1,10.173202514648438,0,3,0.010024785995483398
-399.8355204264323,0.65625,1.1710703372955322,False,,,4,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-40,1680276760,11.34427285194397,1355652,cuda01,172.29.16.1,11.34427285194397,0,4,0.010024785995483398
-392.15721638997394,0.625,1.7874457836151123,False,,,5,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-42,1680276762,13.131718635559082,1355652,cuda01,172.29.16.1,13.131718635559082,0,5,0.010024785995483398
-387.7846272786458,0.65625,1.322990894317627,False,,,6,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-43,1680276763,14.454709529876709,1355652,cuda01,172.29.16.1,14.454709529876709,0,6,0.010024785995483398
-386.48279825846356,0.625,1.2380967140197754,False,,,7,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-44,1680276764,15.692806243896484,1355652,cuda01,172.29.16.1,15.692806243896484,0,7,0.010024785995483398
-384.79175821940106,0.6354166666666666,1.2139155864715576,False,,,8,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-45,1680276765,16.906721830368042,1355652,cuda01,172.29.16.1,16.906721830368042,0,8,0.010024785995483398
-382.30739339192706,0.6354166666666666,1.2086856365203857,False,,,9,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-47,1680276767,18.115407466888428,1355652,cuda01,172.29.16.1,18.115407466888428,0,9,0.010024785995483398
-384.0951436360677,0.5416666666666666,1.2209458351135254,True,,,10,a0d9a_00149,1b764614a0f3486185c9f3431258977e,2023-03-31_17-32-48,1680276768,19.336353302001953,1355652,cuda01,172.29.16.1,19.336353302001953,0,10,0.010024785995483398
