loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-423.8738301595052,0.3229166666666667,10.435279607772827,False,,,1,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-23,1680276863,10.435279607772827,1356844,cuda01,172.29.16.1,10.435279607772827,0,1,0.0044934749603271484
-395.89308675130206,0.34375,1.2607128620147705,False,,,2,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-24,1680276864,11.695992469787598,1356844,cuda01,172.29.16.1,11.695992469787598,0,2,0.0044934749603271484
-387.01695760091144,0.34375,1.2031528949737549,False,,,3,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-25,1680276865,12.899145364761353,1356844,cuda01,172.29.16.1,12.899145364761353,0,3,0.0044934749603271484
-383.18992106119794,0.3645833333333333,1.222224235534668,False,,,4,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-27,1680276867,14.12136960029602,1356844,cuda01,172.29.16.1,14.12136960029602,0,4,0.0044934749603271484
-381.9095153808594,0.3541666666666667,1.2022480964660645,False,,,5,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-28,1680276868,15.323617696762085,1356844,cuda01,172.29.16.1,15.323617696762085,0,5,0.0044934749603271484
-381.9663594563802,0.3645833333333333,1.205277442932129,False,,,6,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-29,1680276869,16.528895139694214,1356844,cuda01,172.29.16.1,16.528895139694214,0,6,0.0044934749603271484
-383.3771158854167,0.3229166666666667,1.436152458190918,False,,,7,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-30,1680276870,17.965047597885132,1356844,cuda01,172.29.16.1,17.965047597885132,0,7,0.0044934749603271484
-380.8330586751302,0.34375,1.3199272155761719,False,,,8,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-32,1680276872,19.284974813461304,1356844,cuda01,172.29.16.1,19.284974813461304,0,8,0.0044934749603271484
-379.27573649088544,0.3541666666666667,1.3716208934783936,False,,,9,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-33,1680276873,20.656595706939697,1356844,cuda01,172.29.16.1,20.656595706939697,0,9,0.0044934749603271484
-379.27381388346356,0.3333333333333333,1.374708890914917,True,,,10,a0d9a_00169,7d987c86b1734058a7705e85cb01f23b,2023-03-31_17-34-34,1680276874,22.031304597854614,1356844,cuda01,172.29.16.1,22.031304597854614,0,10,0.0044934749603271484
