loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-290.8108825683594,0.625,8.494346618652344,False,,,1,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-50,1680277550,8.494346618652344,1363074,cuda01,172.29.16.1,8.494346618652344,0,1,0.005797863006591797
-208.5055389404297,0.640625,1.2421746253967285,False,,,2,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-52,1680277552,9.736521244049072,1363074,cuda01,172.29.16.1,9.736521244049072,0,2,0.005797863006591797
-213.48939514160156,0.59375,1.0509116649627686,False,,,3,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-53,1680277553,10.78743290901184,1363074,cuda01,172.29.16.1,10.78743290901184,0,3,0.005797863006591797
-206.4441375732422,0.515625,1.0274667739868164,False,,,4,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-54,1680277554,11.814899682998657,1363074,cuda01,172.29.16.1,11.814899682998657,0,4,0.005797863006591797
-201.6845245361328,0.671875,1.7664799690246582,False,,,5,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-55,1680277555,13.581379652023315,1363074,cuda01,172.29.16.1,13.581379652023315,0,5,0.005797863006591797
-198.00682067871094,0.453125,1.3467178344726562,False,,,6,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-57,1680277557,14.928097486495972,1363074,cuda01,172.29.16.1,14.928097486495972,0,6,0.005797863006591797
-196.76309204101562,0.625,1.0487093925476074,False,,,7,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-58,1680277558,15.976806879043579,1363074,cuda01,172.29.16.1,15.976806879043579,0,7,0.005797863006591797
-196.6092987060547,0.546875,1.0645604133605957,False,,,8,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-45-59,1680277559,17.041367292404175,1363074,cuda01,172.29.16.1,17.041367292404175,0,8,0.005797863006591797
-194.19972229003906,0.484375,1.0235564708709717,False,,,9,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-00,1680277560,18.064923763275146,1363074,cuda01,172.29.16.1,18.064923763275146,0,9,0.005797863006591797
-194.3918914794922,0.640625,1.04374361038208,False,,,10,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-01,1680277561,19.108667373657227,1363074,cuda01,172.29.16.1,19.108667373657227,0,10,0.005797863006591797
-192.3797149658203,0.46875,1.256453037261963,False,,,11,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-02,1680277562,20.36512041091919,1363074,cuda01,172.29.16.1,20.36512041091919,0,11,0.005797863006591797
-191.65988159179688,0.609375,1.0964460372924805,False,,,12,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-03,1680277563,21.46156644821167,1363074,cuda01,172.29.16.1,21.46156644821167,0,12,0.005797863006591797
-190.6411590576172,0.5,1.2575304508209229,False,,,13,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-05,1680277565,22.719096899032593,1363074,cuda01,172.29.16.1,22.719096899032593,0,13,0.005797863006591797
-191.59849548339844,0.59375,1.051574468612671,False,,,14,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-06,1680277566,23.770671367645264,1363074,cuda01,172.29.16.1,23.770671367645264,0,14,0.005797863006591797
-190.2701873779297,0.578125,1.088501214981079,False,,,15,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-07,1680277567,24.859172582626343,1363074,cuda01,172.29.16.1,24.859172582626343,0,15,0.005797863006591797
-190.043701171875,0.53125,1.2590999603271484,False,,,16,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-08,1680277568,26.11827254295349,1363074,cuda01,172.29.16.1,26.11827254295349,0,16,0.005797863006591797
-190.95643615722656,0.5625,1.0481188297271729,False,,,17,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-09,1680277569,27.166391372680664,1363074,cuda01,172.29.16.1,27.166391372680664,0,17,0.005797863006591797
-189.70811462402344,0.484375,1.1448094844818115,False,,,18,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-10,1680277570,28.311200857162476,1363074,cuda01,172.29.16.1,28.311200857162476,0,18,0.005797863006591797
-190.2199249267578,0.5,1.0959444046020508,False,,,19,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-11,1680277571,29.407145261764526,1363074,cuda01,172.29.16.1,29.407145261764526,0,19,0.005797863006591797
-190.60780334472656,0.578125,1.119534969329834,False,,,20,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-12,1680277572,30.52668023109436,1363074,cuda01,172.29.16.1,30.52668023109436,0,20,0.005797863006591797
-189.4748077392578,0.5625,1.3001999855041504,False,,,21,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-14,1680277574,31.82688021659851,1363074,cuda01,172.29.16.1,31.82688021659851,0,21,0.005797863006591797
-188.78213500976562,0.65625,1.0971441268920898,False,,,22,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-15,1680277575,32.9240243434906,1363074,cuda01,172.29.16.1,32.9240243434906,0,22,0.005797863006591797
-189.41641235351562,0.578125,1.0718746185302734,False,,,23,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-16,1680277576,33.995898962020874,1363074,cuda01,172.29.16.1,33.995898962020874,0,23,0.005797863006591797
-189.22598266601562,0.46875,1.1187145709991455,False,,,24,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-17,1680277577,35.11461353302002,1363074,cuda01,172.29.16.1,35.11461353302002,0,24,0.005797863006591797
-189.92575073242188,0.515625,1.1508963108062744,False,,,25,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-18,1680277578,36.265509843826294,1363074,cuda01,172.29.16.1,36.265509843826294,0,25,0.005797863006591797
-191.35488891601562,0.5625,1.1590576171875,False,,,26,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-19,1680277579,37.424567461013794,1363074,cuda01,172.29.16.1,37.424567461013794,0,26,0.005797863006591797
-191.07516479492188,0.375,1.0272715091705322,False,,,27,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-20,1680277580,38.451838970184326,1363074,cuda01,172.29.16.1,38.451838970184326,0,27,0.005797863006591797
-189.94825744628906,0.546875,1.0224418640136719,False,,,28,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-21,1680277581,39.474280834198,1363074,cuda01,172.29.16.1,39.474280834198,0,28,0.005797863006591797
-189.57904052734375,0.46875,1.031951904296875,False,,,29,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-22,1680277582,40.50623273849487,1363074,cuda01,172.29.16.1,40.50623273849487,0,29,0.005797863006591797
-189.50357055664062,0.53125,1.0895793437957764,False,,,30,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-24,1680277584,41.59581208229065,1363074,cuda01,172.29.16.1,41.59581208229065,0,30,0.005797863006591797
-190.68887329101562,0.484375,1.1714966297149658,False,,,31,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-25,1680277585,42.767308712005615,1363074,cuda01,172.29.16.1,42.767308712005615,0,31,0.005797863006591797
-189.1963653564453,0.546875,1.0764403343200684,False,,,32,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-26,1680277586,43.843749046325684,1363074,cuda01,172.29.16.1,43.843749046325684,0,32,0.005797863006591797
-187.98207092285156,0.421875,1.0350310802459717,False,,,33,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-27,1680277587,44.878780126571655,1363074,cuda01,172.29.16.1,44.878780126571655,0,33,0.005797863006591797
-188.99122619628906,0.546875,1.029080867767334,False,,,34,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-28,1680277588,45.90786099433899,1363074,cuda01,172.29.16.1,45.90786099433899,0,34,0.005797863006591797
-192.49684143066406,0.359375,1.0246121883392334,False,,,35,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-29,1680277589,46.93247318267822,1363074,cuda01,172.29.16.1,46.93247318267822,0,35,0.005797863006591797
-188.9323272705078,0.4375,1.1453869342803955,False,,,36,a0d9a_00257,73109bb35b1a4cf99ecaa30ee576f731,2023-03-31_17-46-30,1680277590,48.07786011695862,1363074,cuda01,172.29.16.1,48.07786011695862,0,36,0.005797863006591797
