loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-803.4248657226562,0.4791666666666667,8.023263454437256,False,,,1,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-35,1680278375,8.023263454437256,1371414,cuda01,172.29.16.1,8.023263454437256,0,1,0.004811286926269531
-803.6375528971354,0.5520833333333334,1.4162516593933105,False,,,2,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-36,1680278376,9.439515113830566,1371414,cuda01,172.29.16.1,9.439515113830566,0,2,0.004811286926269531
-802.7718302408854,0.5416666666666666,1.239522933959961,False,,,3,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-38,1680278378,10.679038047790527,1371414,cuda01,172.29.16.1,10.679038047790527,0,3,0.004811286926269531
-802.9247639973959,0.4270833333333333,1.266237735748291,False,,,4,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-39,1680278379,11.945275783538818,1371414,cuda01,172.29.16.1,11.945275783538818,0,4,0.004811286926269531
-802.0778401692709,0.4791666666666667,1.2333588600158691,False,,,5,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-40,1680278380,13.178634643554688,1371414,cuda01,172.29.16.1,13.178634643554688,0,5,0.004811286926269531
-801.8396199544271,0.4479166666666667,1.3695149421691895,False,,,6,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-42,1680278382,14.548149585723877,1371414,cuda01,172.29.16.1,14.548149585723877,0,6,0.004811286926269531
-801.6429239908854,0.53125,1.1628530025482178,False,,,7,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-43,1680278383,15.711002588272095,1371414,cuda01,172.29.16.1,15.711002588272095,0,7,0.004811286926269531
-802.2704060872396,0.5208333333333334,1.2074928283691406,False,,,8,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-44,1680278384,16.918495416641235,1371414,cuda01,172.29.16.1,16.918495416641235,0,8,0.004811286926269531
-801.5746459960938,0.3958333333333333,1.1685020923614502,False,,,9,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-45,1680278385,18.086997509002686,1371414,cuda01,172.29.16.1,18.086997509002686,0,9,0.004811286926269531
-800.7889811197916,0.5104166666666666,1.1584222316741943,True,,,10,a0d9a_00379,5d65da26c7564e38b4e79ea207885e14,2023-03-31_17-59-46,1680278386,19.24541974067688,1371414,cuda01,172.29.16.1,19.24541974067688,0,10,0.004811286926269531
