loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-438.1416015625,0.3958333333333333,11.77950406074524,False,,,1,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-00,1680290880,11.77950406074524,1406482,cuda01,172.29.16.1,11.77950406074524,0,1,0.0055234432220458984
-438.05821736653644,0.390625,2.3504698276519775,False,,,2,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-03,1680290883,14.129973888397217,1406482,cuda01,172.29.16.1,14.129973888397217,0,2,0.0055234432220458984
-437.8841959635417,0.3385416666666667,2.2222414016723633,False,,,3,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-05,1680290885,16.35221529006958,1406482,cuda01,172.29.16.1,16.35221529006958,0,3,0.0055234432220458984
-437.75513712565106,0.3385416666666667,2.2045207023620605,False,,,4,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-07,1680290887,18.55673599243164,1406482,cuda01,172.29.16.1,18.55673599243164,0,4,0.0055234432220458984
-437.6413879394531,0.3020833333333333,2.2561910152435303,False,,,5,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-09,1680290889,20.81292700767517,1406482,cuda01,172.29.16.1,20.81292700767517,0,5,0.0055234432220458984
-437.5076090494792,0.3385416666666667,2.213052749633789,False,,,6,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-12,1680290892,23.02597975730896,1406482,cuda01,172.29.16.1,23.02597975730896,0,6,0.0055234432220458984
-437.3308512369792,0.2604166666666667,2.180694818496704,False,,,7,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-14,1680290894,25.206674575805664,1406482,cuda01,172.29.16.1,25.206674575805664,0,7,0.0055234432220458984
-437.3323160807292,0.328125,2.22245717048645,False,,,8,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-16,1680290896,27.429131746292114,1406482,cuda01,172.29.16.1,27.429131746292114,0,8,0.0055234432220458984
-437.18426513671875,0.3229166666666667,5.875869035720825,False,,,9,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-22,1680290902,33.30500078201294,1406482,cuda01,172.29.16.1,33.30500078201294,0,9,0.0055234432220458984
-437.0564778645833,0.3177083333333333,2.110556125640869,True,,,10,fe1c8_00039,d3b63eed64d046c2b845562e62e16309,2023-03-31_21-28-24,1680290904,35.41555690765381,1406482,cuda01,172.29.16.1,35.41555690765381,0,10,0.0055234432220458984
