loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-936.3688616071429,0.375,12.20876431465149,False,,,1,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-13,1680294133,12.20876431465149,1431054,cuda01,172.29.16.1,12.20876431465149,0,1,0.005442619323730469
-935.0972202845982,0.33482142857142855,2.74367094039917,False,,,2,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-16,1680294136,14.95243525505066,1431054,cuda01,172.29.16.1,14.95243525505066,0,2,0.005442619323730469
-933.3932843889509,0.33035714285714285,2.643794536590576,False,,,3,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-18,1680294138,17.596229791641235,1431054,cuda01,172.29.16.1,17.596229791641235,0,3,0.005442619323730469
-931.9797973632812,0.36607142857142855,2.758913040161133,False,,,4,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-21,1680294141,20.355142831802368,1431054,cuda01,172.29.16.1,20.355142831802368,0,4,0.005442619323730469
-930.6686401367188,0.28125,2.57503604888916,False,,,5,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-24,1680294144,22.93017888069153,1431054,cuda01,172.29.16.1,22.93017888069153,0,5,0.005442619323730469
-929.0403791155134,0.33035714285714285,2.6991424560546875,False,,,6,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-26,1680294146,25.629321336746216,1431054,cuda01,172.29.16.1,25.629321336746216,0,6,0.005442619323730469
-927.5137677873884,0.30357142857142855,2.5148801803588867,False,,,7,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-29,1680294149,28.144201517105103,1431054,cuda01,172.29.16.1,28.144201517105103,0,7,0.005442619323730469
-925.829328264509,0.3169642857142857,2.709500789642334,False,,,8,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-32,1680294152,30.853702306747437,1431054,cuda01,172.29.16.1,30.853702306747437,0,8,0.005442619323730469
-924.0598754882812,0.33035714285714285,7.826181411743164,False,,,9,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-40,1680294160,38.6798837184906,1431054,cuda01,172.29.16.1,38.6798837184906,0,9,0.005442619323730469
-922.4971051897321,0.35267857142857145,2.5431346893310547,True,,,10,fe1c8_00370,19d6302fef224605aac9cdb36ffae62b,2023-03-31_22-22-42,1680294162,41.223018407821655,1431054,cuda01,172.29.16.1,41.223018407821655,0,10,0.005442619323730469
