loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-668.6021626790365,0.2604166666666667,9.984138011932373,False,,,1,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-01,1680345481,9.984138011932373,1553806,cuda01,172.29.16.1,9.984138011932373,0,1,0.0057528018951416016
-424.23866780598956,0.21354166666666666,2.3445441722869873,False,,,2,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-04,1680345484,12.32868218421936,1553806,cuda01,172.29.16.1,12.32868218421936,0,2,0.0057528018951416016
-397.12721761067706,0.28125,2.344226360321045,False,,,3,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-06,1680345486,14.672908544540405,1553806,cuda01,172.29.16.1,14.672908544540405,0,3,0.0057528018951416016
-388.571782430013,0.18229166666666666,2.3990957736968994,False,,,4,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-08,1680345488,17.072004318237305,1553806,cuda01,172.29.16.1,17.072004318237305,0,4,0.0057528018951416016
-383.90900166829425,0.19791666666666666,2.3594205379486084,False,,,5,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-11,1680345491,19.431424856185913,1553806,cuda01,172.29.16.1,19.431424856185913,0,5,0.0057528018951416016
-382.0720469156901,0.22916666666666666,2.3171262741088867,False,,,6,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-13,1680345493,21.7485511302948,1553806,cuda01,172.29.16.1,21.7485511302948,0,6,0.0057528018951416016
-380.7959950764974,0.2604166666666667,2.4583473205566406,False,,,7,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-16,1680345496,24.20689845085144,1553806,cuda01,172.29.16.1,24.20689845085144,0,7,0.0057528018951416016
-380.4191436767578,0.1875,2.4260783195495605,False,,,8,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-18,1680345498,26.632976770401,1553806,cuda01,172.29.16.1,26.632976770401,0,8,0.0057528018951416016
-380.7707061767578,0.234375,2.335543394088745,False,,,9,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-20,1680345500,28.968520164489746,1553806,cuda01,172.29.16.1,28.968520164489746,0,9,0.0057528018951416016
-380.1023712158203,0.21354166666666666,2.3678817749023438,True,,,10,e71fd_00136,3274f2eba45b419888723c698ff0b2fd,2023-04-01_12-38-23,1680345503,31.33640193939209,1553806,cuda01,172.29.16.1,31.33640193939209,0,10,0.0057528018951416016
