loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-419.4613952636719,0.203125,8.002549648284912,False,,,1,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-39-52,1681216792,8.002549648284912,65406,cuda01,172.29.16.1,8.002549648284912,0,1,0.0048732757568359375
-411.8588562011719,0.21875,10.472403526306152,False,,,2,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-03,1681216803,18.474953174591064,65406,cuda01,172.29.16.1,18.474953174591064,0,2,0.0048732757568359375
-375.3533630371094,0.328125,0.5674550533294678,False,,,3,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-03,1681216803,19.042408227920532,65406,cuda01,172.29.16.1,19.042408227920532,0,3,0.0048732757568359375
-328.28900146484375,0.234375,0.5222408771514893,False,,,4,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-04,1681216804,19.56464910507202,65406,cuda01,172.29.16.1,19.56464910507202,0,4,0.0048732757568359375
-320.4194641113281,0.1875,0.5690734386444092,False,,,5,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-04,1681216804,20.13372254371643,65406,cuda01,172.29.16.1,20.13372254371643,0,5,0.0048732757568359375
-277.37017822265625,0.15625,0.5401146411895752,False,,,6,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-05,1681216805,20.673837184906006,65406,cuda01,172.29.16.1,20.673837184906006,0,6,0.0048732757568359375
-269.32537841796875,0.28125,0.5887181758880615,False,,,7,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-05,1681216805,21.262555360794067,65406,cuda01,172.29.16.1,21.262555360794067,0,7,0.0048732757568359375
-256.028564453125,0.203125,0.5060205459594727,False,,,8,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-06,1681216806,21.76857590675354,65406,cuda01,172.29.16.1,21.76857590675354,0,8,0.0048732757568359375
-237.96910095214844,0.25,0.562676191329956,False,,,9,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-06,1681216806,22.331252098083496,65406,cuda01,172.29.16.1,22.331252098083496,0,9,0.0048732757568359375
-228.21893310546875,0.171875,0.5397741794586182,True,,,10,bf6b2_00252,d07104d45ac44adeb4f04a4c2c4335aa,2023-04-11_14-40-07,1681216807,22.871026277542114,65406,cuda01,172.29.16.1,22.871026277542114,0,10,0.0048732757568359375
