loss,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-848.7427368164062,0.3125,7.674060821533203,False,,,1,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-30,1681217370,7.674060821533203,71068,cuda01,172.29.16.1,7.674060821533203,0,1,0.005621433258056641
-826.1337890625,0.34375,0.4238162040710449,False,,,2,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-31,1681217371,8.097877025604248,71068,cuda01,172.29.16.1,8.097877025604248,0,2,0.005621433258056641
-791.3706665039062,0.15625,0.3105742931365967,False,,,3,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-31,1681217371,8.408451318740845,71068,cuda01,172.29.16.1,8.408451318740845,0,3,0.005621433258056641
-687.0137939453125,0.1875,0.33588480949401855,False,,,4,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-31,1681217371,8.744336128234863,71068,cuda01,172.29.16.1,8.744336128234863,0,4,0.005621433258056641
-737.8003540039062,0.34375,0.2785530090332031,False,,,5,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-31,1681217371,9.022889137268066,71068,cuda01,172.29.16.1,9.022889137268066,0,5,0.005621433258056641
-584.5733642578125,0.375,0.3224825859069824,False,,,6,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-32,1681217372,9.345371723175049,71068,cuda01,172.29.16.1,9.345371723175049,0,6,0.005621433258056641
-584.4622802734375,0.21875,0.32265782356262207,False,,,7,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-32,1681217372,9.668029546737671,71068,cuda01,172.29.16.1,9.668029546737671,0,7,0.005621433258056641
-569.0272827148438,0.28125,0.31123924255371094,False,,,8,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-32,1681217372,9.979268789291382,71068,cuda01,172.29.16.1,9.979268789291382,0,8,0.005621433258056641
-536.5817260742188,0.1875,0.29768896102905273,False,,,9,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-33,1681217373,10.276957750320435,71068,cuda01,172.29.16.1,10.276957750320435,0,9,0.005621433258056641
-490.547607421875,0.3125,0.2886333465576172,True,,,10,bf6b2_00334,dfeaef87ab2d4c5eae85d667830bb3c4,2023-04-11_14-49-33,1681217373,10.565591096878052,71068,cuda01,172.29.16.1,10.565591096878052,0,10,0.005621433258056641
